colony,location,day,minute,count
c392,other,3,2,9
c392,other,3,3,16
c392,other,3,4,10
c392,other,3,5,15
c392,other,4,1,NA
c392,other,4,2,NA
c392,other,4,3,NA
c392,other,4,4,NA
c392,other,4,5,NA
c392,other,5,1,11
c392,other,5,2,8
c392,other,5,3,6
c392,other,5,4,7
c392,other,5,5,9
c392,other,6,1,NA
c392,other,6,2,NA
c392,other,6,3,NA
c392,other,6,4,NA
c392,other,6,5,NA
c392,other,7,1,2
c392,other,7,2,3
c392,other,7,3,5
c392,other,7,4,8
c392,other,7,5,10
